Country,Country Code,Diabetes Total,Diabetes Male,Diabetes Female,Overweight Total,Overweight Male,Overweight Female,Obesity Total,Obesity Male,Obesity Female, Diabetes Proportional Mortality,Diabetes Total per,Diabetes Total2,Obesity Total per,Overweight Total per,
Turkmenistan,TKM,10.20%,9.90%,10.40%,52.50%,51.80%,53.30%,18.80%,15.90%,21.70%,,10.00,0.102,0.19,0.53,
Tuvalu,TUV,23.10%,22.40%,23.80%,72.10%,68.40%,76.00%,39.60%,33.80%,45.70%,,23.00,0.231,0.40,0.72,
Uganda,UGA,2.80%,2.70%,3.00%,3.90%,1.30%,6.50%,18.60%,11.30%,25.90%,,3.00,0.028,0.19,0.04,
Ukraine,UKR,9.10%,8.30%,9.70%,57.30%,58.20%,56.60%,21.70%,17.90%,24.90%,,9.00,0.091,0.22,0.57,
United Arab Emirates,ARE,8.00%,7.80%,8.50%,70.60%,70.50%,70.90%,34.50%,31.60%,41.20%,3%,8.00,0.08,0.35,0.71,
United Kingdom,GBR,7.70%,8.40%,6.90%,66.70%,71.10%,62.40%,29.80%,28.50%,31.10%,20%,7.00,0.077,0.30,0.67,
United Republic of Tanzania,TZA,4.30%,4.10%,4.50%,22.60%,15.10%,30.00%,5.90%,2.40%,9.50%,,4.00,0.043,0.06,0.23,
United States Of America,USA,9.10%,9.80%,8.30%,69.60%,74.10%,65.30%,35.00%,33.70%,36.30%,,9.00,0.091,0.35,0.70,
Uruguay,URY,11.10%,10.10%,11.90%,63.20%,63.30%,63.20%,27.60%,22.90%,31.90%,,11.00,0.111,0.28,0.63,
Uzbekistan,UZB,8.70%,8.30%,9.10%,46.30%,43.90%,48.70%,14.30%,11.20%,17.40%,,8.00,0.087,0.14,0.46,
Vanuatu,VUT,13.10%,12.90%,13.30%,64.20%,58.90%,69.70%,32.90%,27.20%,38.70%,,13.00,0.131,0.33,0.64,
Venezuela (Bolivarian Republic of),VEN,8.80%,9.10%,8.50%,61.30%,59.90%,62.60%,24.30%,19.80%,28.80%,7.00%,8.00,0.088,0.24,0.61,
Viet Nam,VNM,4.90%,4.70%,5.00%,20.40%,17.20%,23.50%,3.50%,2.30%,4.80%,Other NCDs,4.00,0.049,0.04,0.20,
Yemen,YEM,7.70%,8.40%,7.10%,14.20%,9.10%,19.40%,40.60%,34.50%,46.80%,,7.00,0.077,0.41,0.14,
Zambia,ZMB,4.20%,4.10%,4.40%,7.20%,2.90%,11.50%,25.10%,17.10%,33.10%,1%,4.00,0.042,0.25,0.07,
Zimbabwe,ZWE,4.60%,4.00%,5.20%,26.20%,13.70%,38.40%,8.40%,1.90%,14.80%,,4.00,0.046,0.08,0.26,
U.S. Virgin Islands,VIR,,,,,,,,,,,,,,,
American Samoa,ASM,,,,,,,,,,,,,,,
Anguilla,AIA,,,,,,,,,,,,,,,
Antarctica,ATA,,,,,,,,,,,,,,,
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,
Christmas Islands,CXR,,,,,,,,,,,,,,,
Cocos Islands,CCK,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,
Falkland Islands,FLK,,,,,,,,,,,,,,,
Faoe Islands,FRO,,,,,,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,,,,,,
Greenland,GRL,,,,,,,,,,,,,,,
Jersey,JEY,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,
Netherlands Antilles,ANT,,,,,,,,,,,,,,,
New Caledonia,NCL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
North Korea,PRK,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,
Palestine,PSE,,,,,,,,,,,,,,,
Pitcairn,PCN,,,,,,,,,,,,,,,
Puerto Rico,PRI,,,,,,,,,,,,,,,
Republic of Congo,COG,,,,,,,,,,,,,,,
Reunion,REU,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saint Barthelemy,BLM,BL / BLM,,,,,,,,,,,,,,
Saint Helena,SHN,SH / SHN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sint Maarten,SXM,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,SJM,,,,,,,,,,,,,,,
Taiwan,TJK,,,,,,,,,,,,,,,
Vatican,VAT,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,
Tonga,TON,,,,,,,,,,,,,,,
Tokelau,TKL,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,,,,,,,,,,,,,,,
Western Sahara,ESH,,,,,,,,,,,,,,,
Aruba,ABW,,,,,,,,,,,,,,,
Bermuda,BMV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gibrattar,GIB,,,,,,,,,,,,,,,
Guam,GUM,,,,,,,,,,,,,,,
Guernsey,GGY,,,,,,,,,,,,,,,
Honk Kong,HKG,,,,,,,,,,,,,,,
Isle of Man,IMN,,,,,,,,,,,,,,,
Kosovo,XKX,,,,,,,,,,,,,,,
Macau,MAC,,,,,,,,,,,,,,,
Macedonia,MKD,,,,,,,,,,,,,,,
Mayotte,MYT,,,,,,,,,,,,,,,
Maldova,MDA,,,,,,,,,,,,,,,
Montserrat,MSR,,,,,,,,,,,,,,,
